Identifier,Symbol,CompanyName,ACN,ABN,HomeMarket,GICSSector,GICSIndGrp,ASXSector,ASXSubSector,FormerNames,TradingStatus,ListDate,DelistDate,DelistReason,Address,City,State,Postcode,PhoneNumber,FaxNumber,WebAddress,EmailAddress,ISIN,RegistryId,Template,ASX300
ARMR,ARMR,Betashares Global Defence ETF,ARSN 679 404 669,,ASX,40,4020,,,,Trading,4/10/2024,,,"Level 6, 50 Margaret St",Sydney,NSW,2000,+61 2 9290 6888 ,,www.betashares.com.au,support@betashares.com.au,AU0000353534,4673,propinvest,0
ARN,ARN,Aldoro Resources Ltd,622 990 809,31 622 990 809,ASX,15,1510,,,,Trading,13/09/2018,,,"Unit 1, 1 Centro Ave",Subiaco,WA,6008,+61 8 6559 1792 ,+61 8 9481 4950 ,www.aldororesources.com,contact@aldororesources.com,AU0000017733,4756,indus,0
ARN1,ARN1,Arnotts Limited ,000 003 001,,ASX,,,9,93,,Delisted,31/03/1970,5/12/1997,Pursuant to the Company's Scheme of Arrangement and the acquisition by Campbells Soup Company.,11 George St,Homebush,NSW,2140,+61 2 9394 3555,+61 2 9394 3500, ,,,4260,indus,0
ARQ1,ARQ1,Arc Energy Limited,009 204 031,74 009 204 031,ASX,10,1010,4,42,"Arc Energy NL (ARQ) 26/1/2004; Austin Oil NL (ATO), 15/08/1997",Delisted,21/05/1987,29/08/2008,Delisted under listing rule 17.11.,"Level 4, 679 Murray St",West Perth,WA,6005,+61 8 9486 7333,+61 8 9486 7322,www.arcenergy.com.au,arc@arcenergy.com.au,AU000000ARQ3,3976,indus,0
ARR,ARR,American Rare Earths Limited,ARBN 003 453 503,83 003 453 503,ASX,15,1510,,,"Broken Hill Prospecting Limited (BPL), 01/07/2020",Trading,17/02/2011,,,"Suite 706, Level 7, 89 York St",Sydney,NSW,2000,,,www.americanree.com,info@americanree.com,NZARRE0004S7,4738,indus,0
ARR1,ARR1,Auralia Resources Nl ,009 088 359,,ASX,,,1,12,,Delisted,18/06/1987,23/10/1995,Shareholder and court approval of a merger with Ross Mining NL by way of a Scheme of Arrangement,"Unit 18, Level 2, 25-33 Mary St",Brisbane,QLD,4000,+61 7 229 4766 ,+61 7 229 8662 , ,,,4471,indus,0
ARS,ARS,ALT RESOURCES LIMITED,168 928 416,57 168 928 416,ASX,15,1510,,,,Delisted,23/12/2015,14/09/2020,"Under Listing Rule 17.2, at the request of ARS, pending the release of an announcement regarding metallurgical results.","Level 2, 33 Ord St",West Perth,WA,6005,+61 2 6456 2915 ,+61 2 6451 4611 ,www.altresources.com.au,info@altresources.com.au,AU000000ARS9,4736,indus,0
ARS1,ARS1,Australian Resources Limited ,054 580 700,,ASX,,,1,15,,Delisted,12/11/1993,29/10/1999,Failure to lodge with ASX annual listing fee for the year ended 30/06/2000.,"Suite 1, Level 9, 100 William St",East Sydney,NSW,2011,+61 2 9326 9277 ,+61 2 8356 9877 , ,,,,indus,0
ART,ART,Airtasker Limited,149 850 457,53 149 850 457,ASX,50,5020,,,,Trading,23/03/2021,,,"Level 6, 24-26 Campbell St",Haymarket,NSW,2000,+61 4 1511 3908 ,,www.airtasker.com,,AU0000135998,4758,indus,0
ART1,ART1,AMP Shopping Centre Trust,ARSN 087 393 397,,ASX,40,4040,20,201, ,Delisted,7/11/1997,7/08/2003,Delisted under listing rule 17.14 following completion of compulsory acquisition by Parliv Pty Limited under its takeover offer.,"Level 22, 33 Alfred St",Sydney,NSW,2000,+61 2 9257 5472,+61 2 9257 5099,www.amp.com.au/shoppingcentretrust,,,4738,propinvest,0
ARU,ARU,Arafura Rare Earths Ltd,080 933 455,22 080 933 455,ASX,15,1510,2,27,"Arafura Resources NL (ARU), 02/04/2007;Arafura Resources Limited (ARU ), 31/10/2022",Trading,5/11/2003,,,"Level 6, 432 Murray St",Perth,WA,6000,+61 8 6370 2800 ,+61 8 9221 7966 ,www.arultd.com,arafura@arultd.com,AU000000ARU5,4635,indus,0
ARV,ARV,Artemis Resources Limited,107 051 749,80 107 051 749,ASX,15,1510,1,13,,Trading,16/03/2007,,,"Level 2, 10 Ord St",West Perth,WA,6005,,,www.artemisresources.com.au,info@artemisresources.com.au,AU000000ARV3,4756,indus,0
ARV-NZ,ARV-NZ,Arvida Group Limited,,,NZSE,35,3510,,,,Trading,19/12/2014,,,,,,,,,www.arvida.co.nz,info@arvida.co.nz,,4099,indus,0
ARV1,ARV1,Australian Resort Developments Limited ,,,ASX,,,21,212,,Delisted,,27/08/1992,delisted at request of the Directors,Boneo Rd,Cape Schanck,VIC,3939,+61 5 9886 888,+61 5 9886 671,,,,4257,indus,0
ARW1,ARW1,Arrow Limited ,008 103 295,,ASX,,,13,131,,Delisted,26/11/1987,17/03/1993,taken over by Independent Holdings Limited,30 North Tce,Kent Town,SA,5067,+61 8 362 9266,+61 8 362 9904,,,,4373,indus,0
ARX,ARX,Aroa Biosurgery Limited,ARBN 638 867 473,,ASX,35,3520,,,,Trading,24/07/2020,,,64 Richard Pearse Dr,Mangere Auckland,New Zealand,2022,+64 9 869 3035 ,,www.aroa.com,investor@aroa.com,NZARXE0001S1,4758,indus,0
AS1,AS1,Asara Resources Limited,006 710 774,39 006 710 774,ASX,15,1510,1,12,"Alcaston Mining NL (AMG), 21/12/2006; Golden Rim Resources Ltd (GMR), 22/12/2023",Trading,13/08/1987,,,"Level 23, Collins Square Tower Five , 727 Collins St",Melbourne,VIC,3008,+61 3 8677 0829 ,,www.asararesources.com,info@asararesources.com,AU0000315624,4025,indus,0
AS2,AS2,Askari Metals Limited,646 034 460,39 646 034 460,ASX,15,1510,,,,Trading,7/07/2021,,,"L2/Building C, 355 Scarborough Beach Rd",Perth,WA,6000,+61 4 0040 8878 ,,www.askarimetals.com,info@askarimetals.com,AU0000153256,4756,indus,0
AS3,AS3,Angel Seafood Holdings Ltd,615 035 366,38 615 035 366,ASX,30,3020,,,,Delisted,21/02/2018,6/07/2022,"In accordance with Listing Rule 17.11, following implementation of the scheme of arrangement between AS1 and its shareholders in connection with the acquisition of all the issued capital in AS1 by Valley Seas BidCo Pty Ltd.",48 Proper Bay Rd,Port Lincoln,SA,5606,+61 4 2789 1200 ,,www.angelseafood.com.au,info@angelseafood.com.au,AU000000AS16,4738,indus,0
ASAO,ASAO,abrdn Sustainable Asian Opportunities Active ETF (Managed Fund),ARSN 106 201 236,,ASX,40,4020,,,,Trading,19/10/2022,,,"Level 2, 395 Collins St",Melbourne,VIC,3000,,,www.abrdn.com,client.service.aust@abrdn.com,AU0000236804,4738,propinvest,0
ASB,ASB,Austal Limited,009 250 266,73 009 250 266,ASX,20,2010,11,111, ,Trading,8/12/1998,,,100 Clarence Beach Rd,Henderson,WA,6166,+61 8 9410 1111 ,+61 8 9410 2564 ,www.austal.com,pubrel@austal.com,AU000000ASB3,4635,indus,1
ASC1,ASC1,Amino Sabre Corporation Limited,,,ASX,,,,,,Delisted,26/09/1985,3/10/1990,Failure to pay annual listing fees,"Suite 22, 33 Queens Rd",Melbourne,VIC,3004,+61 3 267 6444,,,,,4226,indus,0
ASD-NZ,ASD-NZ,Smart Australian Dividend ETF,,,NZSE,40,4020,,,"Australian Dividend Index Trust (ASD-NZ), 31/03/2017; Australian Dividend Fund (ASD-NZ), 05/06/2019; Smartshares Australian Dividend ETF (ASD-NZ), 27/09/2024",Trading,16/12/2014,,,"Level 2, NZX Centre, 11 Cable St",Wellington Central,New Zealand,6011,+64 4 472 7599 ,,www.smartshares.co.nz,smartshares@smartshares.co.nz,,4750,propinvest,0
ASE,ASE,Astute Metals NL,007 090 904,96 007 090 904,ASX,15,1510,2,25,"Astro Mining NL (ARO) 29/10/2004; Astro Diamond Mines NL (ARO) on 07/10/2009; Astro Resources NL (ARO), 19/07/2023",Trading,14/08/1986,,,"Level 2, 517 Flinders Ln",Melbourne,VIC,3000,+61 3 8606 3488 ,+61 3 9686 9866 ,www.astutemetals.com,admin@astutemetals.com,AU0000289613,4673,indus,0
ASE1,ASE1,Australian Topmaking Services Limited ,004 284 164,,ASX,,,22,224,"Hawke (Aust) Ltd, 02/07/1993.",Delisted,1/01/1974,15/01/2001,At request of the Company following the passing of a special resolution on 28/11/2000 approving a selective capital reduction/cancellation.,1 King Merino Rd,Parkes,NSW,2870,+61 2 6862 6155,+61 2 6862 6236, ,,,4738,indus,0
ASE2,ASE2,Ascend Biopharmaceuticals Limited,,,ASX,,,,,,Withdrawn Float,,,,"Suite 6, Level 5, 189 Kent St",Sydney,NSW,2000,+61 2 8046 2799 ,,www.ascendbiopharma.com,info@ascendbiopharma.com,AU000000ASE7,,indus,0
ASF-NZ,ASF-NZ,Smart Australian Financials ETF,,,NZSE,40,4020,,,"Australian Financials Index Trust (NS) (ASF-NZ), 31/03/2017; Australian Financials Fund (ASF-NZ), 05/06/2019; Smartshares Australian Financials ETF (ASF-NZ), 27/09/2024",Trading,7/04/2015,,,"Level 2, 11 Cable St",Wellington Central,New Zealand,6011,+64 4 472 7599 ,,www.smartshares.co.nz,smartshares@smartshares.co.nz,,4709,propinvest,0
ASG,ASG,Autosports Group Limited,614 505 261,54 614 505 261,ASX,25,2550,,,,Trading,16/11/2016,,,555 Parramatta Rd,Leichhardt,NSW,2040,+61 2 9509 0662 ,+61 2 9509 0668 ,autosportsgroup.com.au,,AU000000ASG2,4673,indus,0
ASH,ASH,Ashley Services Group Limited,094 747 510,92 094 747 510,ASX,20,2020,,,,Trading,21/08/2014,,,"Level 10, 92 Pitt St",Sydney,NSW,2000,+61 2 9216 4747 ,+61 2 9221 6677 ,www.ashleyservicesgroup.com.au,,AU000000ASH0,4635,indus,0
ASH1,ASH1,Ashton Mining Limited ,005 466 964,,ASX,,,2,25,,Delisted,1/01/1978,13/12/2000,Pursuant to listing Rule 17.14 t/o by Capricorn Diamonds,"Level 4, 441 St Kilda Rd",Melbourne,VIC,3004,+61 3 9832 9200,+61 3 9832 9211,www.ashton.net.au,,,4025,indus,0
ASH2,ASH2,Archean Star Resources Inc.,,,ASX,20,2020,,,,Withdrawn Float,,,,,,,,,,,,AU000000ASH0,3976,indus,0
ASIA,ASIA,BetaShares Asia Technology Tigers ETF,,,ASX,40,4020,,,,Trading,21/09/2018,,,"Level 46, 180 George St",Sydney,NSW,2000,+61 2 9290 6888 ,+61 2 9262 4950 ,www.betashares.com.au,info@betashares.com.au,AU0000022063,4673,propinvest,0
ASK,ASK,Abacus Storage King,112 457 075,37 112 457 075,ASX,60,6010,,,,Trading,1/08/2023,,,"Level 13, 77 Castlereagh St",Sydney,NSW,2000,+61 2 9253 8600 ,+61 2 9253 8616 ,www.abacusgroup.com.au,enquiries@abacusgroup.com.au,AU0000286213,4736,propinvest,1
ASL,ASL,Andean Silver Limited,645 578 454,,ASX,15,1510,,,"Mitre Mining Corporation Limited (MMC), 10/07/2024",Trading,30/09/2021,,,"Level 2, 480 Collins St",Melbourne,VIC,3000,+61 3 9614 0550 ,,www.andeansilver.com,info@andeansilver.com.au,AU0000343253,4025,indus,0
ASM,ASM,Australian Strategic Materials Limited,168 368 401,90 168 368 401,ASX,15,1510,,,,Trading,30/07/2020,,,"Level 4, 66 Kings Park Rd",West Perth,WA,6005,+61 8 9200 1681 ,+61 8 9227 8178 ,www.asm-au.com,info@asm-au.com,AU0000094153,4758,indus,0
ASN,ASN,Anson Resources Limited,136 636 005,46 136 636 005,ASX,15,1510,2,27,"Mayan Iron Corporation Limited (MYN), 07-01-2016",Trading,8/07/2010,,,"Level 3, 10 Eagle St",Brisbane,QLD,4000,+61 7 3132 7990 ,+61 8 6313 4133 ,www.ansonresources.com,info@ansonresources.com,AU000000ASN8,4758,indus,0
ASO,ASO,Aston Minerals Limited,144 079 667,,ASX,15,1510,,,"Western Manganese Limited (WMN), 05/12/2012; Western Mining Network Limited (WMN), 26/05/2017;European Cobalt Limited (EUC), 21/12/2020",Delisted,4/03/2011,11/06/2025,,"Suite 23, 513 Hay St",Subiaco,WA,6008,+61 8 6143 6740 ,+61 8 9463 6103 ,www.astonminerals.com,info@astonminerals.com,AU0000128787,4758,indus,0
ASP,ASP,Aspermont Limited,000 375 048,66 000 375 048,ASX,50,5020,15,152, ,Trading,27/04/2000,,,613-619 Wellington St,Perth,WA,6000,+61 8 6263 9100 ,+61 8 6263 9148 ,www.aspermont.com,contact@aspermont.com,AU000000ASP3,4756,indus,0
ASP-NZ,ASP-NZ,Smart Australian Property ETF,,,NZSE,40,4020,,,"Australian Property Index Trust (NS) (ASP-NZ), 31/03/2017; Australian Property Fund (ASP-NZ), 05/06/2019; Smartshares Australian Property ETF (ASP-NZ), 27/09/2024",Trading,16/12/2014,,,"Level 2, NZX Centre, 11 Cable St",Wellington Central,New Zealand,6011,+64 4 495 2813 ,,www.smartshares.co.nz,smartshares@smartshares.co.nz,,4709,propinvest,0
ASP1,ASP1,Austore Property Trust Limited,,,ASX,,,,,,Delisted,1/09/1977,28/03/1990,T/O by Schroders International Property Fund,"Level 7, 88 Walker St",North Sydney,NSW,2060,+61 2 957 3455,+61 2 923 2762,,,,4227,indus,0
ASQ,ASQ,Australian Silica Quartz Group Ltd,119 699 982,72 119 699 982,ASX,15,1510,2,22,"Bauxite Resources Limited (BAU), 20/11/2019",Trading,22/10/2007,,,"Suite 10, 295 Rokeby Rd",Subiaco,WA,6008,+61 8 9200 8200 ,+61 8 9200 8299 ,www.asqg.com.au,admin@asqg.com.au,AU0000066169,4756,indus,0
